ZIPREGION_0,ZIPREGION_1,ZIPREGION_2,ZIPREGION_3,ZIPREGION_4,ZIPREGION_5,ZIPREGION_6,ZIPREGION_7,ZIPREGION_8,ZIPREGION_9,ZIPREGION
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
0,0,0,3,0,0,0,0,0,0,
